GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,sort_period,repeat,agent_density,mean_message_count,s_rtc,s_simulation,s_init,s_exit,s_step_mean
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,10648,22.000000,2.000000,1,0,1.000000,181.420044,5.374000,0.084409,0.000000,0.000000,0.000404
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,10648,22.000000,2.000000,1,1,1.000000,179.427017,0.005000,0.085905,0.000000,0.000000,0.000412
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,10648,22.000000,2.000000,1,2,1.000000,182.351822,0.002000,0.073985,0.000000,0.000000,0.000353
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,19683,27.000000,2.000000,1,0,1.000000,186.892105,0.004000,0.078014,0.000000,0.000000,0.000374
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,19683,27.000000,2.000000,1,1,1.000000,189.120560,0.003000,0.077559,0.000000,0.000000,0.000372
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,19683,27.000000,2.000000,1,2,1.000000,186.042145,0.003000,0.076561,0.000000,0.000000,0.000366
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,29791,31.000000,2.000000,1,0,1.000000,191.438599,0.002000,0.077483,0.000000,0.000000,0.000371
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,29791,31.000000,2.000000,1,1,1.000000,190.874008,0.002000,0.079031,0.000000,0.000000,0.000379
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,29791,31.000000,2.000000,1,2,1.000000,190.805893,0.003000,0.077939,0.000000,0.000000,0.000373
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,39304,34.000000,2.000000,1,0,1.000000,191.212479,0.003000,0.078777,0.000000,0.000000,0.000378
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,39304,34.000000,2.000000,1,1,1.000000,191.586151,0.003000,0.076626,0.000000,0.000000,0.000367
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,39304,34.000000,2.000000,1,2,1.000000,190.105759,0.003000,0.079760,0.000000,0.000000,0.000382
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,50653,37.000000,2.000000,1,0,1.000000,194.677597,0.005000,0.082066,0.000000,0.000000,0.000394
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,50653,37.000000,2.000000,1,1,1.000000,194.713715,0.003000,0.082134,0.000000,0.000000,0.000394
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,50653,37.000000,2.000000,1,2,1.000000,193.910950,0.003000,0.082591,0.000000,0.000000,0.000397
