GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,sort_period,block_size,mean_agent_density,mean_mean_message_count,mean_s_rtc,mean_s_simulation,mean_s_init,mean_s_exit,mean_s_step_mean,env_volume,comm_radius_as_percentage_env_width
NVIDIA A100-SXM4-40GB,1,0, cupy-rect_by_cell_stripe,200,1000000,100.000000,1,1,32,1.000000,0.000000,0.000000,0.277635,0.003720,0.000000,0.001388,1000000.000000,1.000000
NVIDIA A100-SXM4-40GB,1,0, cupy-rect_by_cell_stripe,200,1000000,100.000000,1,1,64,1.000000,0.000000,0.000000,0.263061,0.003567,0.000000,0.001315,1000000.000000,1.000000
NVIDIA A100-SXM4-40GB,1,0, cupy-rect_by_cell_stripe,200,1000000,100.000000,1,1,96,1.000000,0.000000,0.000000,0.258100,0.002200,0.000000,0.001290,1000000.000000,1.000000
NVIDIA A100-SXM4-40GB,1,0, cupy-rect_by_cell_stripe,200,1000000,100.000000,1,1,128,1.000000,0.000000,0.000000,0.258205,0.001481,0.000000,0.001291,1000000.000000,1.000000
NVIDIA A100-SXM4-40GB,1,0, cupy-rect_by_cell_stripe,200,1000000,100.000000,1,1,160,1.000000,0.000000,0.000000,0.267338,0.002969,0.000000,0.001337,1000000.000000,1.000000
NVIDIA A100-SXM4-40GB,1,0, cupy-rect_by_cell_stripe,200,1000000,100.000000,1,1,192,1.000000,0.000000,0.000000,0.263976,0.002230,0.000000,0.001320,1000000.000000,1.000000
NVIDIA A100-SXM4-40GB,1,0, cupy-rect_by_cell_stripe,200,1000000,100.000000,1,1,224,1.000000,0.000000,0.000000,0.260755,0.001778,0.000000,0.001304,1000000.000000,1.000000
NVIDIA A100-SXM4-40GB,1,0, cupy-rect_by_cell_stripe,200,1000000,100.000000,1,1,256,1.000000,0.000000,0.000000,0.254393,0.001926,0.000000,0.001272,1000000.000000,1.000000
NVIDIA A100-SXM4-40GB,1,0, cupy-rect_by_cell_stripe,200,1000000,100.000000,1,1,288,1.000000,0.000000,0.000000,0.269567,0.003723,0.000000,0.001348,1000000.000000,1.000000
NVIDIA A100-SXM4-40GB,1,0, cupy-rect_by_cell_stripe,200,1000000,100.000000,1,1,320,1.000000,0.000000,0.000000,0.264542,0.001950,0.000000,0.001323,1000000.000000,1.000000
NVIDIA A100-SXM4-40GB,1,0, cupy-rect_by_cell_stripe,200,1000000,100.000000,1,1,352,1.000000,0.000000,0.000000,0.269045,0.001846,0.000000,0.001345,1000000.000000,1.000000
NVIDIA A100-SXM4-40GB,1,0, cupy-rect_by_cell_stripe,200,1000000,100.000000,1,1,384,1.000000,0.000000,0.000000,0.270037,0.002424,0.000000,0.001350,1000000.000000,1.000000
NVIDIA A100-SXM4-40GB,1,0, cupy-rect_by_cell_stripe,200,1000000,100.000000,1,1,416,1.000000,0.000000,0.000000,0.262316,0.001893,0.000000,0.001312,1000000.000000,1.000000
NVIDIA A100-SXM4-40GB,1,0, cupy-rect_by_cell_stripe,200,1000000,100.000000,1,1,448,1.000000,0.000000,0.000000,0.277752,0.001905,0.000000,0.001389,1000000.000000,1.000000
NVIDIA A100-SXM4-40GB,1,0, cupy-rect_by_cell_stripe,200,1000000,100.000000,1,1,480,1.000000,0.000000,0.000000,0.285822,0.003421,0.000000,0.001429,1000000.000000,1.000000
NVIDIA A100-SXM4-40GB,1,0, cupy-rect_by_cell_stripe,200,1000000,100.000000,1,1,512,1.000000,0.000000,0.000000,0.274070,0.003044,0.000000,0.001370,1000000.000000,1.000000
NVIDIA A100-SXM4-40GB,1,0, cupy-rect_by_cell_stripe,200,1000000,100.000000,1,1,544,1.000000,0.000000,0.000000,0.266718,0.001830,0.000000,0.001334,1000000.000000,1.000000
NVIDIA A100-SXM4-40GB,1,0, cupy-rect_by_cell_stripe,200,1000000,100.000000,1,1,576,1.000000,0.000000,0.000000,0.269850,0.001977,0.000000,0.001349,1000000.000000,1.000000
NVIDIA A100-SXM4-40GB,1,0, cupy-rect_by_cell_stripe,200,1000000,100.000000,1,1,608,1.000000,0.000000,0.000000,0.267849,0.004811,0.000000,0.001339,1000000.000000,1.000000
NVIDIA A100-SXM4-40GB,1,0, cupy-rect_by_cell_stripe,200,1000000,100.000000,1,1,640,1.000000,0.000000,0.000000,0.267933,0.001881,0.000000,0.001340,1000000.000000,1.000000
