GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,mean_agent_density,mean_mean_message_count,mean_s_rtc,mean_s_simulation,mean_s_init,mean_s_exit,mean_s_step_mean,env_volume,comm_radius_as_percentage_env_width
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,64000,40.000000,2.000000,1.000000,193.737686,0.000000,0.121023,0.000000,0.000000,0.000579,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,64000,40.000000,4.000000,1.000000,1396.787231,0.000000,0.375647,0.000000,0.000000,0.001847,64000.000000,10.000000
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,64000,40.000000,6.000000,1.000000,3722.180094,0.000000,0.971943,0.000000,0.000000,0.004836,64000.000000,15.000000
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,64000,40.000000,8.000000,1.000000,8960.027344,0.000000,2.468678,0.000000,0.000000,0.012314,64000.000000,20.000000
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,64000,40.000000,10.000000,1.000000,15570.160482,0.000000,4.382774,0.000000,0.000000,0.021886,64000.000000,25.000000
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,64000,40.000000,12.000000,1.000000,15709.303060,0.000000,4.706692,0.000000,0.000000,0.023509,64000.000000,30.000000
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,64000,40.000000,14.000000,1.000000,30067.063802,0.000000,10.385569,0.000000,0.000000,0.051902,64000.000000,35.000000
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,64000,40.000000,16.000000,1.000000,30243.493490,0.000000,10.849184,0.000000,0.000000,0.054220,64000.000000,40.000000
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,64000,40.000000,18.000000,1.000000,30373.873698,0.000000,11.202330,0.000000,0.000000,0.055979,64000.000000,45.000000
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,64000,40.000000,20.000000,1.000000,64000.000000,0.000000,14.815363,0.000000,0.000000,0.074045,64000.000000,50.000000
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,64000,40.000000,22.000000,1.000000,64000.000000,0.000000,15.499144,0.000000,0.000000,0.077468,64000.000000,55.000000
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,64000,40.000000,24.000000,1.000000,64000.000000,0.000000,15.975990,0.000000,0.000000,0.079855,64000.000000,60.000000
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,64000,40.000000,26.000000,1.000000,64000.000000,0.000000,16.307067,0.000000,0.000000,0.081501,64000.000000,65.000000
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,64000,40.000000,28.000000,1.000000,64000.000000,0.000000,16.517015,0.000000,0.000000,0.082560,64000.000000,70.000000
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,64000,40.000000,30.000000,1.000000,64000.000000,0.000000,16.625916,0.000000,0.000000,0.083101,64000.000000,75.000000
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,64000,40.000000,32.000000,1.000000,64000.000000,0.000000,16.670392,0.000000,0.000000,0.083327,64000.000000,80.000000
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,64000,40.000000,34.000000,1.000000,64000.000000,0.000000,16.684289,0.000000,0.000000,0.083394,64000.000000,85.000000
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,64000,40.000000,36.000000,1.000000,64000.000000,0.000000,16.682881,0.000000,0.000000,0.083390,64000.000000,90.000000
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,64000,40.000000,38.000000,1.000000,64000.000000,0.000000,16.676908,0.000000,0.000000,0.083360,64000.000000,95.000000
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,64000,40.000000,40.000000,1.000000,64000.000000,0.000000,16.699294,0.000000,0.000000,0.083469,64000.000000,100.000000
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,64000,40.000000,2.000000,1.000000,193.737691,1.141000,0.098086,0.000000,0.000000,0.000465,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,64000,40.000000,4.000000,1.000000,1396.787231,0.008667,0.268727,0.000000,0.000000,0.001313,64000.000000,10.000000
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,64000,40.000000,6.000000,1.000000,3722.180176,0.008333,0.685636,0.000000,0.000000,0.003404,64000.000000,15.000000
