GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,mean_agent_density,mean_mean_message_count,mean_s_rtc,mean_s_simulation,mean_s_init,mean_s_exit,mean_s_step_mean,env_volume,comm_radius_as_percentage_env_width
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,10648,22.000000,2.000000,1.000000,181.066279,0.000000,0.091296,0.000000,0.000000,0.000440,10648.000000,9.090909
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,19683,27.000000,2.000000,1.000000,187.351598,0.000000,0.099321,0.000000,0.000000,0.000480,19683.000000,7.407407
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,29791,31.000000,2.000000,1.000000,191.039540,0.000000,0.100714,0.000000,0.000000,0.000487,29791.000000,6.451613
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,39304,34.000000,2.000000,1.000000,190.968140,0.000000,0.099101,0.000000,0.000000,0.000479,39304.000000,5.882353
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,50653,37.000000,2.000000,1.000000,194.434067,0.000000,0.105328,0.000000,0.000000,0.000510,50653.000000,5.405405
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,59319,39.000000,2.000000,1.000000,195.137797,0.000000,0.106446,0.000000,0.000000,0.000515,59319.000000,5.128205
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,68921,41.000000,2.000000,1.000000,195.881521,0.000000,0.121554,0.000000,0.000000,0.000592,68921.000000,4.878049
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,79507,43.000000,2.000000,1.000000,196.668269,0.000000,0.127569,0.000000,0.000000,0.000621,79507.000000,4.651163
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,91125,45.000000,2.000000,1.000000,197.316940,0.000000,0.127391,0.000000,0.000000,0.000621,91125.000000,4.444444
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,97336,46.000000,2.000000,1.000000,196.207540,0.000000,0.119976,0.000000,0.000000,0.000583,97336.000000,4.347826
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,195112,58.000000,2.000000,1.000000,198.959488,0.000000,0.196629,0.000000,0.000000,0.000967,195112.000000,3.448276
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,300763,67.000000,2.000000,1.000000,201.985774,0.000000,0.271090,0.000000,0.000000,0.001339,300763.000000,2.985075
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,405224,74.000000,2.000000,1.000000,202.003113,0.000000,0.333725,0.000000,0.000000,0.001652,405224.000000,2.702703
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,493039,79.000000,2.000000,1.000000,203.575175,0.000000,0.406610,0.000000,0.000000,0.002017,493039.000000,2.531646
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,592704,84.000000,2.000000,1.000000,203.049311,0.000000,0.458652,0.000000,0.000000,0.002276,592704.000000,2.380952
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,704969,89.000000,2.000000,1.000000,204.500066,0.000000,0.581367,0.000000,0.000000,0.002890,704969.000000,2.247191
