GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,sort_period,block_size,max_threads,mean_agent_density,mean_mean_message_count,mean_s_rtc,mean_s_simulation,mean_s_init,mean_s_exit,mean_s_step_mean,env_volume,comm_radius_as_percentage_env_width
NVIDIA A100-SXM4-40GB,1,0, cupy-grid-grid_stride,200,1000000,50.000000,1,1,416,50000,8.000000,0.000000,0.000000,2.192045,0.416121,0.000000,0.010960,125000.000000,2.000000
NVIDIA A100-SXM4-40GB,1,0, cupy-grid-grid_stride,200,1000000,50.000000,1,1,416,100000,8.000000,0.000000,0.000000,1.441135,0.005374,0.000000,0.007206,125000.000000,2.000000
NVIDIA A100-SXM4-40GB,1,0, cupy-grid-grid_stride,200,1000000,50.000000,1,1,416,250000,8.000000,0.000000,0.000000,1.238540,0.004115,0.000000,0.006193,125000.000000,2.000000
NVIDIA A100-SXM4-40GB,1,0, cupy-grid-grid_stride,200,1000000,50.000000,1,1,416,500000,8.000000,0.000000,0.000000,1.186594,0.003661,0.000000,0.005933,125000.000000,2.000000
NVIDIA A100-SXM4-40GB,1,0, cupy-grid-grid_stride,200,1000000,50.000000,1,1,416,1000000,8.000000,0.000000,0.000000,1.169740,0.003516,0.000000,0.005849,125000.000000,2.000000
NVIDIA A100-SXM4-40GB,1,0, cupy-grid-grid_stride,200,1000000,50.000000,1,1,512,50000,8.000000,0.000000,0.000000,1.566787,0.004663,0.000000,0.007834,125000.000000,2.000000
NVIDIA A100-SXM4-40GB,1,0, cupy-grid-grid_stride,200,1000000,50.000000,1,1,512,100000,8.000000,0.000000,0.000000,1.298069,0.004320,0.000000,0.006490,125000.000000,2.000000
NVIDIA A100-SXM4-40GB,1,0, cupy-grid-grid_stride,200,1000000,50.000000,1,1,512,250000,8.000000,0.000000,0.000000,1.271492,0.003825,0.000000,0.006357,125000.000000,2.000000
NVIDIA A100-SXM4-40GB,1,0, cupy-grid-grid_stride,200,1000000,50.000000,1,1,512,500000,8.000000,0.000000,0.000000,1.224323,0.003879,0.000000,0.006122,125000.000000,2.000000
NVIDIA A100-SXM4-40GB,1,0, cupy-grid-grid_stride,200,1000000,50.000000,1,1,512,1000000,8.000000,0.000000,0.000000,1.207295,0.003730,0.000000,0.006036,125000.000000,2.000000
NVIDIA A100-SXM4-40GB,1,0, cupy-grid-grid_stride,200,1000000,50.000000,1,1,576,50000,8.000000,0.000000,0.000000,1.630407,0.005106,0.000000,0.008152,125000.000000,2.000000
NVIDIA A100-SXM4-40GB,1,0, cupy-grid-grid_stride,200,1000000,50.000000,1,1,576,100000,8.000000,0.000000,0.000000,1.369747,0.004937,0.000000,0.006849,125000.000000,2.000000
NVIDIA A100-SXM4-40GB,1,0, cupy-grid-grid_stride,200,1000000,50.000000,1,1,576,250000,8.000000,0.000000,0.000000,1.273659,0.004181,0.000000,0.006368,125000.000000,2.000000
