GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,sort_period,mean_agent_density,mean_mean_message_count,mean_s_rtc,mean_s_simulation,mean_s_init,mean_s_exit,mean_s_step_mean,env_volume,comm_radius_as_percentage_env_width
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,106480,22.000000,2.000000,1,10.000000,1818.706258,0.000000,0.669294,0.000000,0.000000,0.003322,10648.000000,9.090909
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,196830,27.000000,2.000000,1,10.000000,1708.596842,0.000000,0.997360,0.000000,0.000000,0.004963,19683.000000,7.407407
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,297910,31.000000,2.000000,1,10.000000,1752.828735,0.000000,1.413263,0.000000,0.000000,0.007032,29791.000000,6.451613
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,393040,34.000000,2.000000,1,10.000000,1924.669596,0.000000,1.884050,0.000000,0.000000,0.009392,39304.000000,5.882353
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,506530,37.000000,2.000000,1,10.000000,1807.610759,0.000000,2.232192,0.000000,0.000000,0.011133,50653.000000,5.405405
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,593190,39.000000,2.000000,1,10.000000,1821.576050,0.000000,2.701973,0.000000,0.000000,0.013475,59319.000000,5.128205
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,689210,41.000000,2.000000,1,10.000000,1835.109293,0.000000,3.057602,0.000000,0.000000,0.015260,68921.000000,4.878049
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,795070,43.000000,2.000000,1,10.000000,1846.693685,0.000000,3.579685,0.000000,0.000000,0.017874,79507.000000,4.651163
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,911250,45.000000,2.000000,1,10.000000,1857.953491,0.000000,3.851047,0.000000,0.000000,0.019227,91125.000000,4.444444
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,973360,46.000000,2.000000,1,10.000000,1976.329509,0.000000,4.302926,0.000000,0.000000,0.021490,97336.000000,4.347826
