GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,sort_period,mean_agent_density,mean_mean_message_count,mean_s_rtc,mean_s_simulation,mean_s_init,mean_s_exit,mean_s_step_mean,env_volume,comm_radius_as_percentage_env_width
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,1000000,50.000000,1.000000,0,8.000000,200.112610,0.000000,1.754816,0.000000,0.000000,0.008745,125000.000000,2.000000
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,1000000,50.000000,1.000000,1,8.000000,200.112594,0.000000,0.716447,0.000000,0.000000,0.003550,125000.000000,2.000000
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,1000000,50.000000,1.000000,2,8.000000,200.112625,0.000000,0.692440,0.000000,0.000000,0.003438,125000.000000,2.000000
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,1000000,50.000000,1.000000,5,8.000000,200.112620,0.000000,0.680811,0.000000,0.000000,0.003376,125000.000000,2.000000
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,1000000,50.000000,1.000000,10,8.000000,200.112625,0.000000,0.683846,0.000000,0.000000,0.003391,125000.000000,2.000000
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,1000000,50.000000,1.000000,20,8.000000,200.112600,0.000000,0.690098,0.000000,0.000000,0.003408,125000.000000,2.000000
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,1000000,50.000000,1.000000,50,8.000000,200.112605,0.000000,0.702908,0.000000,0.000000,0.003490,125000.000000,2.000000
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,1000000,50.000000,1.000000,100,8.000000,200.112599,0.000000,0.729504,0.000000,0.000000,0.003621,125000.000000,2.000000
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,1000000,50.000000,1.000000,200,8.000000,200.112630,0.000000,0.759456,0.000000,0.000000,0.003773,125000.000000,2.000000
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,1000000,50.000000,2.000000,0,8.000000,1590.051310,0.000000,12.350647,0.000000,0.000000,0.061715,125000.000000,4.000000
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,1000000,50.000000,2.000000,1,8.000000,1590.051310,0.000000,3.681516,0.000000,0.000000,0.018380,125000.000000,4.000000
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,1000000,50.000000,2.000000,2,8.000000,1590.051229,0.000000,3.678303,0.000000,0.000000,0.018367,125000.000000,4.000000
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,1000000,50.000000,2.000000,5,8.000000,1590.051229,0.000000,3.676948,0.000000,0.000000,0.018360,125000.000000,4.000000
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,1000000,50.000000,2.000000,10,8.000000,1590.051270,0.000000,3.698140,0.000000,0.000000,0.018462,125000.000000,4.000000
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,1000000,50.000000,2.000000,20,8.000000,1590.051269,0.000000,3.721366,0.000000,0.000000,0.018583,125000.000000,4.000000
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,1000000,50.000000,2.000000,50,8.000000,1590.051188,0.000000,3.777593,0.000000,0.000000,0.018863,125000.000000,4.000000
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,1000000,50.000000,2.000000,100,8.000000,1590.051269,0.000000,3.815122,0.000000,0.000000,0.019051,125000.000000,4.000000
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,1000000,50.000000,2.000000,200,8.000000,1590.051229,0.000000,3.884443,0.000000,0.000000,0.019392,125000.000000,4.000000
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,1000000,50.000000,4.000000,0,8.000000,10464.261719,0.000000,75.058095,0.000000,0.000000,0.375265,125000.000000,8.000000
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,1000000,50.000000,4.000000,1,8.000000,10464.261393,0.000000,22.821855,0.000000,0.000000,0.114084,125000.000000,8.000000
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,1000000,50.000000,4.000000,2,8.000000,10464.261719,0.000000,22.896393,0.000000,0.000000,0.114457,125000.000000,8.000000
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,1000000,50.000000,4.000000,5,8.000000,10464.261393,0.000000,22.988067,0.000000,0.000000,0.114909,125000.000000,8.000000
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,1000000,50.000000,4.000000,10,8.000000,10464.262044,0.000000,23.051104,0.000000,0.000000,0.115229,125000.000000,8.000000
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,1000000,50.000000,4.000000,20,8.000000,10464.261719,0.000000,23.161550,0.000000,0.000000,0.115777,125000.000000,8.000000
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,1000000,50.000000,4.000000,50,8.000000,10464.262044,0.000000,23.325309,0.000000,0.000000,0.116594,125000.000000,8.000000
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,1000000,50.000000,4.000000,100,8.000000,10464.261719,0.000000,23.496779,0.000000,0.000000,0.117459,125000.000000,8.000000
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,1000000,50.000000,4.000000,200,8.000000,10464.262044,0.000000,23.638962,0.000000,0.000000,0.118170,125000.000000,8.000000
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,1000000,50.000000,6.000000,0,8.000000,29335.210938,0.000000,200.066467,0.000000,0.000000,1.000301,125000.000000,12.000000
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,1000000,50.000000,6.000000,1,8.000000,29335.209636,0.000000,65.328252,0.000000,0.000000,0.326605,125000.000000,12.000000
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,1000000,50.000000,6.000000,2,8.000000,29335.212891,0.000000,65.353599,0.000000,0.000000,0.326742,125000.000000,12.000000
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,1000000,50.000000,6.000000,5,8.000000,29335.211589,0.000000,65.424401,0.000000,0.000000,0.327096,125000.000000,12.000000
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,1000000,50.000000,6.000000,10,8.000000,29335.211589,0.000000,65.540461,0.000000,0.000000,0.327677,125000.000000,12.000000
