GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,step,mean_agent_density,mean_s_step,env_volume,comm_radius_as_percentage_env_width
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,0,1.000000,0.001548,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,1,1.000000,0.000430,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,2,1.000000,0.000438,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,3,1.000000,0.000430,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,4,1.000000,0.000442,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,5,1.000000,0.000443,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,6,1.000000,0.000442,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,7,1.000000,0.000432,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,8,1.000000,0.000442,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,9,1.000000,0.000432,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,10,1.000000,0.000463,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,11,1.000000,0.000433,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,12,1.000000,0.000443,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,13,1.000000,0.000433,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,14,1.000000,0.000444,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,15,1.000000,0.000449,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,16,1.000000,0.000443,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,17,1.000000,0.000434,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,18,1.000000,0.000444,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,19,1.000000,0.000435,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,20,1.000000,0.000479,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,21,1.000000,0.000430,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,22,1.000000,0.000442,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,23,1.000000,0.000431,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,24,1.000000,0.000442,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,25,1.000000,0.000443,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,26,1.000000,0.000443,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,27,1.000000,0.000433,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,28,1.000000,0.000444,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,29,1.000000,0.000433,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,30,1.000000,0.000465,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,31,1.000000,0.000436,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,32,1.000000,0.000446,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,33,1.000000,0.000435,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,34,1.000000,0.000451,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,35,1.000000,0.000447,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,36,1.000000,0.000448,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,37,1.000000,0.000437,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,38,1.000000,0.000455,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,39,1.000000,0.000437,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,40,1.000000,0.000479,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,41,1.000000,0.000435,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,42,1.000000,0.000445,64000.000000,5.000000
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,43,1.000000,0.000435,64000.000000,5.000000
