GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,sort_period,mean_agent_density,mean_mean_message_count,mean_s_rtc,mean_s_simulation,mean_s_init,mean_s_exit,mean_s_step_mean,env_volume,comm_radius_as_percentage_env_width
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,100,10648,22.000000,2.000000,1,1.000000,179.456721,0.000000,0.055015,0.000000,0.000000,0.000515,10648.000000,9.090909
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,100,19683,27.000000,2.000000,1,1.000000,167.743907,0.000000,0.043654,0.000000,0.000000,0.000403,19683.000000,7.407407
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,100,29791,31.000000,2.000000,1,1.000000,173.240234,0.000000,0.045210,0.000000,0.000000,0.000423,29791.000000,6.451613
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,100,39304,34.000000,2.000000,1,1.000000,191.651947,0.000000,0.049278,0.000000,0.000000,0.000459,39304.000000,5.882353
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,100,50653,37.000000,2.000000,1,1.000000,179.127446,0.000000,0.048890,0.000000,0.000000,0.000452,50653.000000,5.405405
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,100,59319,39.000000,2.000000,1,1.000000,180.895442,0.000000,0.048581,0.000000,0.000000,0.000456,59319.000000,5.128205
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,100,68921,41.000000,2.000000,1,1.000000,182.439738,0.000000,0.055861,0.000000,0.000000,0.000525,68921.000000,4.878049
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,100,79507,43.000000,2.000000,1,1.000000,183.825923,0.000000,0.057713,0.000000,0.000000,0.000547,79507.000000,4.651163
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,100,91125,45.000000,2.000000,1,1.000000,185.219279,0.000000,0.060366,0.000000,0.000000,0.000574,91125.000000,4.444444
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,100,97336,46.000000,2.000000,1,1.000000,197.614700,0.000000,0.059253,0.000000,0.000000,0.000563,97336.000000,4.347826
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,100,195112,58.000000,2.000000,1,1.000000,201.173685,0.000000,0.098106,0.000000,0.000000,0.000951,195112.000000,3.448276
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,100,300763,67.000000,2.000000,1,1.000000,194.601211,0.000000,0.123710,0.000000,0.000000,0.001201,300763.000000,2.985075
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,100,405224,74.000000,2.000000,1,1.000000,204.377345,0.000000,0.162818,0.000000,0.000000,0.001592,405224.000000,2.702703
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,100,493039,79.000000,2.000000,1,1.000000,197.693018,0.000000,0.185499,0.000000,0.000000,0.001825,493039.000000,2.531646
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,100,592704,84.000000,2.000000,1,1.000000,205.671285,0.000000,0.229382,0.000000,0.000000,0.002247,592704.000000,2.380952
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,100,704969,89.000000,2.000000,1,1.000000,199.617086,0.000000,0.260140,0.000000,0.000000,0.002558,704969.000000,2.247191
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,100,804357,93.000000,2.000000,1,1.000000,200.298167,0.000000,0.275654,0.000000,0.000000,0.002720,804357.000000,2.150538
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,100,912673,97.000000,2.000000,1,1.000000,200.945155,0.000000,0.316123,0.000000,0.000000,0.003122,912673.000000,2.061856
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,100,1000000,100.000000,2.000000,1,1.000000,207.342362,0.000000,0.343666,0.000000,0.000000,0.003405,1000000.000000,2.000000
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,10648,22.000000,2.000000,1,1.000000,181.066269,0.000000,0.094003,0.000000,0.000000,0.000446,10648.000000,9.090909
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,19683,27.000000,2.000000,1,1.000000,168.547826,0.000000,0.086829,0.000000,0.000000,0.000411,19683.000000,7.407407
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,29791,31.000000,2.000000,1,1.000000,173.234192,0.000000,0.092473,0.000000,0.000000,0.000439,29791.000000,6.451613
