GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,mean_agent_density,mean_mean_message_count,mean_s_rtc,mean_s_simulation,mean_s_init,mean_s_exit,mean_s_step_mean,env_volume,comm_radius_as_percentage_env_width
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,10648,22.000000,2.000000,1.000000,181.066289,0.000000,0.089333,0.000000,0.000000,0.000421,10648.000000,9.090909
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,19683,27.000000,2.000000,1.000000,168.547851,0.000000,0.087158,0.000000,0.000000,0.000413,19683.000000,7.407407
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,21296,22.000000,2.000000,2.000000,361.599569,0.000000,0.134169,0.000000,0.000000,0.000647,10648.000000,9.090909
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,29791,31.000000,2.000000,1.000000,173.234217,0.000000,0.092390,0.000000,0.000000,0.000439,29791.000000,6.451613
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,31944,22.000000,2.000000,3.000000,543.622314,0.000000,0.181243,0.000000,0.000000,0.000877,10648.000000,9.090909
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,39304,34.000000,2.000000,1.000000,190.968145,0.000000,0.099426,0.000000,0.000000,0.000470,39304.000000,5.882353
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,39366,27.000000,2.000000,2.000000,338.339477,0.000000,0.133363,0.000000,0.000000,0.000640,19683.000000,7.407407
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,42592,22.000000,2.000000,4.000000,725.164225,0.000000,0.224452,0.000000,0.000000,0.001095,10648.000000,9.090909
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,50653,37.000000,2.000000,1.000000,178.532257,0.000000,0.098703,0.000000,0.000000,0.000470,50653.000000,5.405405
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,59049,27.000000,2.000000,3.000000,507.241638,0.000000,0.176176,0.000000,0.000000,0.000856,19683.000000,7.407407
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,59319,39.000000,2.000000,1.000000,180.321121,0.000000,0.099623,0.000000,0.000000,0.000475,59319.000000,5.128205
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,59582,31.000000,2.000000,2.000000,346.719258,0.000000,0.135752,0.000000,0.000000,0.000655,29791.000000,6.451613
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,68921,41.000000,2.000000,1.000000,181.674159,0.000000,0.113069,0.000000,0.000000,0.000537,68921.000000,4.878049
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,78608,34.000000,2.000000,2.000000,381.408142,0.000000,0.178840,0.000000,0.000000,0.000866,39304.000000,5.882353
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,78732,27.000000,2.000000,4.000000,678.367350,0.000000,0.266094,0.000000,0.000000,0.001305,19683.000000,7.407407
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,79507,43.000000,2.000000,1.000000,182.616608,0.000000,0.117609,0.000000,0.000000,0.000561,79507.000000,4.651163
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,89373,31.000000,2.000000,3.000000,520.849426,0.000000,0.222087,0.000000,0.000000,0.001082,29791.000000,6.451613
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,91125,45.000000,2.000000,1.000000,184.291763,0.000000,0.116105,0.000000,0.000000,0.000557,91125.000000,4.444444
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,97336,46.000000,2.000000,1.000000,196.207550,0.000000,0.120448,0.000000,0.000000,0.000579,97336.000000,4.347826
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,101306,37.000000,2.000000,2.000000,358.023051,0.000000,0.178421,0.000000,0.000000,0.000862,50653.000000,5.405405
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,117912,34.000000,2.000000,3.000000,573.043783,0.000000,0.245188,0.000000,0.000000,0.001198,39304.000000,5.882353
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,118638,39.000000,2.000000,2.000000,361.459157,0.000000,0.180089,0.000000,0.000000,0.000877,59319.000000,5.128205
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,119164,31.000000,2.000000,4.000000,696.617371,0.000000,0.282589,0.000000,0.000000,0.001388,29791.000000,6.451613
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,137842,41.000000,2.000000,2.000000,363.708293,0.000000,0.253297,0.000000,0.000000,0.001240,68921.000000,4.878049
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,148877,53.000000,2.000000,1.000000,187.726130,0.000000,0.166783,0.000000,0.000000,0.000810,148877.000000,3.773585
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,151959,37.000000,2.000000,3.000000,538.303630,0.000000,0.340060,0.000000,0.000000,0.001677,50653.000000,5.405405
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,157216,34.000000,2.000000,4.000000,765.436524,0.000000,0.456129,0.000000,0.000000,0.002253,39304.000000,5.882353
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,159014,43.000000,2.000000,2.000000,366.325633,0.000000,0.265757,0.000000,0.000000,0.001299,79507.000000,4.651163
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,177957,39.000000,2.000000,3.000000,542.907064,0.000000,0.362616,0.000000,0.000000,0.001785,59319.000000,5.128205
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,182250,45.000000,2.000000,2.000000,368.379150,0.000000,0.276195,0.000000,0.000000,0.001349,91125.000000,4.444444
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,194672,46.000000,2.000000,2.000000,392.133117,0.000000,0.294376,0.000000,0.000000,0.001442,97336.000000,4.347826
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,195112,58.000000,2.000000,1.000000,198.959493,0.000000,0.195883,0.000000,0.000000,0.000955,195112.000000,3.448276
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,202612,37.000000,2.000000,4.000000,718.385295,0.000000,0.501594,0.000000,0.000000,0.002476,50653.000000,5.405405
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,206763,41.000000,2.000000,3.000000,546.301453,0.000000,0.408552,0.000000,0.000000,0.002014,68921.000000,4.878049
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,237276,39.000000,2.000000,4.000000,724.983236,0.000000,0.522255,0.000000,0.000000,0.002587,59319.000000,5.128205
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,238521,43.000000,2.000000,3.000000,550.330953,0.000000,0.426556,0.000000,0.000000,0.002102,79507.000000,4.651163
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,250047,63.000000,2.000000,1.000000,191.353342,0.000000,0.215901,0.000000,0.000000,0.001049,250047.000000,3.174603
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,273375,45.000000,2.000000,3.000000,553.724589,0.000000,0.499342,0.000000,0.000000,0.002470,91125.000000,4.444444
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,275684,41.000000,2.000000,4.000000,729.369832,0.000000,0.649550,0.000000,0.000000,0.003220,68921.000000,4.878049
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,292008,46.000000,2.000000,3.000000,589.240397,0.000000,0.535065,0.000000,0.000000,0.002651,97336.000000,4.347826
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,297754,53.000000,2.000000,2.000000,375.539876,0.000000,0.404316,0.000000,0.000000,0.001990,148877.000000,3.773585
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,300763,67.000000,2.000000,1.000000,192.584844,0.000000,0.251468,0.000000,0.000000,0.001230,300763.000000,2.985075
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,318028,43.000000,2.000000,4.000000,734.773926,0.000000,0.691609,0.000000,0.000000,0.003418,79507.000000,4.651163
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,343000,70.000000,2.000000,1.000000,201.390686,0.000000,0.282855,0.000000,0.000000,0.001390,343000.000000,2.857143
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,364500,45.000000,2.000000,4.000000,739.613342,0.000000,0.746147,0.000000,0.000000,0.003700,91125.000000,4.444444
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,389344,46.000000,2.000000,4.000000,787.328166,0.000000,0.887612,0.000000,0.000000,0.004406,97336.000000,4.347826
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,390224,58.000000,2.000000,2.000000,398.713511,0.000000,0.572437,0.000000,0.000000,0.002834,195112.000000,3.448276
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,405224,74.000000,2.000000,1.000000,202.003108,0.000000,0.328180,0.000000,0.000000,0.001617,405224.000000,2.702703
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,446631,53.000000,2.000000,3.000000,564.840413,0.000000,0.739721,0.000000,0.000000,0.003674,148877.000000,3.773585
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,456533,77.000000,2.000000,1.000000,194.915548,0.000000,0.357598,0.000000,0.000000,0.001761,456533.000000,2.597403
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,493039,79.000000,2.000000,1.000000,195.315409,0.000000,0.376073,0.000000,0.000000,0.001849,493039.000000,2.531646
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,500094,63.000000,2.000000,2.000000,383.234660,0.000000,0.567978,0.000000,0.000000,0.002816,250047.000000,3.174603
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,585336,58.000000,2.000000,3.000000,598.959697,0.000000,1.034992,0.000000,0.000000,0.005144,195112.000000,3.448276
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,595508,53.000000,2.000000,4.000000,754.070129,0.000000,1.215493,0.000000,0.000000,0.006053,148877.000000,3.773585
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,601526,67.000000,2.000000,2.000000,385.291331,0.000000,0.695313,0.000000,0.000000,0.003450,300763.000000,2.985075
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,686000,70.000000,2.000000,2.000000,402.865204,0.000000,0.810468,0.000000,0.000000,0.004024,343000.000000,2.857143
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,750141,63.000000,2.000000,3.000000,575.603231,0.000000,1.131939,0.000000,0.000000,0.005635,250047.000000,3.174603
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,780448,58.000000,2.000000,4.000000,799.940470,0.000000,1.647785,0.000000,0.000000,0.008214,195112.000000,3.448276
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,810448,74.000000,2.000000,2.000000,404.140859,0.000000,0.946720,0.000000,0.000000,0.004706,405224.000000,2.702703
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,902289,67.000000,2.000000,3.000000,579.063232,0.000000,1.395419,0.000000,0.000000,0.006952,300763.000000,2.985075
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,913066,77.000000,2.000000,2.000000,390.142812,0.000000,1.098008,0.000000,0.000000,0.005452,456533.000000,2.597403
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,986078,79.000000,2.000000,2.000000,390.833099,0.000000,1.135476,0.000000,0.000000,0.005646,493039.000000,2.531646
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,1000188,63.000000,2.000000,4.000000,768.770101,0.000000,1.914873,0.000000,0.000000,0.009544,250047.000000,3.174603
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,1029000,70.000000,2.000000,3.000000,605.262736,0.000000,1.635553,0.000000,0.000000,0.008153,343000.000000,2.857143
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,1203052,67.000000,2.000000,4.000000,773.580445,0.000000,2.320367,0.000000,0.000000,0.011561,300763.000000,2.985075
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,1215672,74.000000,2.000000,3.000000,607.432149,0.000000,1.952614,0.000000,0.000000,0.009731,405224.000000,2.702703
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,1369599,77.000000,2.000000,3.000000,586.458435,0.000000,2.137647,0.000000,0.000000,0.010655,456533.000000,2.597403
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,1372000,70.000000,2.000000,4.000000,808.670003,0.000000,2.744714,0.000000,0.000000,0.013695,343000.000000,2.857143
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,1479117,79.000000,2.000000,3.000000,587.480733,0.000000,2.324699,0.000000,0.000000,0.011590,493039.000000,2.531646
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,1620896,74.000000,2.000000,4.000000,810.937195,0.000000,3.291533,0.000000,0.000000,0.016430,405224.000000,2.702703
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,1826132,77.000000,2.000000,4.000000,783.133077,0.000000,3.613878,0.000000,0.000000,0.018045,456533.000000,2.597403
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D,200,1972156,79.000000,2.000000,4.000000,784.628235,0.000000,3.929886,0.000000,0.000000,0.019619,493039.000000,2.531646
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,10648,22.000000,2.000000,1.000000,181.066284,0.009333,0.071589,0.000000,0.000000,0.000334,10648.000000,9.090909
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,19683,27.000000,2.000000,1.000000,168.547836,0.009000,0.072465,0.000000,0.000000,0.000333,19683.000000,7.407407
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,21296,22.000000,2.000000,2.000000,361.599569,0.009000,0.104763,0.000000,0.000000,0.000492,10648.000000,9.090909
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,29791,31.000000,2.000000,1.000000,173.234187,0.009333,0.080368,0.000000,0.000000,0.000364,29791.000000,6.451613
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,31944,22.000000,2.000000,3.000000,543.622253,0.009000,0.134235,0.000000,0.000000,0.000641,10648.000000,9.090909
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,39304,34.000000,2.000000,1.000000,190.968165,0.009000,0.081869,0.000000,0.000000,0.000381,39304.000000,5.882353
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,39366,27.000000,2.000000,2.000000,338.339427,0.009000,0.101226,0.000000,0.000000,0.000482,19683.000000,7.407407
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,42592,22.000000,2.000000,4.000000,725.164164,0.009000,0.162723,0.000000,0.000000,0.000788,10648.000000,9.090909
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,50653,37.000000,2.000000,1.000000,178.532242,0.009333,0.082616,0.000000,0.000000,0.000384,50653.000000,5.405405
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,59049,27.000000,2.000000,3.000000,507.241648,0.009000,0.128848,0.000000,0.000000,0.000620,19683.000000,7.407407
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,59319,39.000000,2.000000,1.000000,180.321116,0.009000,0.082662,0.000000,0.000000,0.000382,59319.000000,5.128205
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,59582,31.000000,2.000000,2.000000,346.719269,0.009000,0.106544,0.000000,0.000000,0.000500,29791.000000,6.451613
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,68921,41.000000,2.000000,1.000000,181.674138,0.009333,0.083174,0.000000,0.000000,0.000392,68921.000000,4.878049
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,78608,34.000000,2.000000,2.000000,381.408132,0.008667,0.150628,0.000000,0.000000,0.000726,39304.000000,5.882353
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,78732,27.000000,2.000000,4.000000,678.367350,0.009000,0.217884,0.000000,0.000000,0.001063,19683.000000,7.407407
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,79507,43.000000,2.000000,1.000000,182.616608,0.010000,0.103210,0.000000,0.000000,0.000490,79507.000000,4.651163
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,89373,31.000000,2.000000,3.000000,520.849467,0.010000,0.186502,0.000000,0.000000,0.000906,29791.000000,6.451613
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,91125,45.000000,2.000000,1.000000,184.291758,0.009000,0.103116,0.000000,0.000000,0.000488,91125.000000,4.444444
NVIDIA A100-SXM4-40GB,1,0, circles_spatial3D_rtc,200,97336,46.000000,2.000000,1.000000,196.207535,0.008333,0.105611,0.000000,0.000000,0.000502,97336.000000,4.347826
