GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,sort_period,repeat,agent_density,mean_message_count,s_rtc,s_simulation,s_init,s_exit,s_step_mean
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,10648,22.000000,2.000000,1,0,1.000000,181.420044,0.000000,0.108074,0.000000,0.000000,0.000514
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,10648,22.000000,2.000000,1,1,1.000000,179.427017,0.000000,0.096611,0.000000,0.000000,0.000457
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,10648,22.000000,2.000000,1,2,1.000000,182.351822,0.000000,0.089491,0.000000,0.000000,0.000423
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,10648,22.000000,2.000000,1,0,1.000000,181.420044,3.786000,0.087611,0.000000,0.000000,0.000411
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,10648,22.000000,2.000000,1,1,1.000000,179.426971,0.009000,0.092405,0.000000,0.000000,0.000426
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,10648,22.000000,2.000000,1,2,1.000000,182.351822,0.008000,0.083950,0.000000,0.000000,0.000394
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,19683,27.000000,2.000000,1,0,1.000000,168.002380,0.000000,0.086631,0.000000,0.000000,0.000410
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,19683,27.000000,2.000000,1,1,1.000000,169.659851,0.000000,0.087733,0.000000,0.000000,0.000415
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,19683,27.000000,2.000000,1,2,1.000000,167.981323,0.000000,0.087585,0.000000,0.000000,0.000409
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,19683,27.000000,2.000000,1,0,1.000000,168.002350,0.008000,0.070473,0.000000,0.000000,0.000329
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,19683,27.000000,2.000000,1,1,1.000000,169.659805,0.008000,0.070818,0.000000,0.000000,0.000330
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,19683,27.000000,2.000000,1,2,1.000000,167.981308,0.008000,0.072304,0.000000,0.000000,0.000330
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,29791,31.000000,2.000000,1,0,1.000000,173.078003,0.000000,0.092755,0.000000,0.000000,0.000439
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,29791,31.000000,2.000000,1,1,1.000000,173.883148,0.000000,0.094464,0.000000,0.000000,0.000449
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,29791,31.000000,2.000000,1,2,1.000000,172.741547,0.000000,0.092345,0.000000,0.000000,0.000439
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,29791,31.000000,2.000000,1,0,1.000000,173.078064,0.010000,0.076359,0.000000,0.000000,0.000358
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,29791,31.000000,2.000000,1,1,1.000000,173.883087,0.008000,0.075465,0.000000,0.000000,0.000354
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,29791,31.000000,2.000000,1,2,1.000000,172.741547,0.010000,0.076072,0.000000,0.000000,0.000357
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,39304,34.000000,2.000000,1,0,1.000000,191.212524,0.000000,0.100141,0.000000,0.000000,0.000477
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,39304,34.000000,2.000000,1,1,1.000000,191.586121,0.000000,0.098332,0.000000,0.000000,0.000462
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,39304,34.000000,2.000000,1,2,1.000000,190.105804,0.000000,0.098492,0.000000,0.000000,0.000469
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,39304,34.000000,2.000000,1,0,1.000000,191.212494,0.009000,0.085139,0.000000,0.000000,0.000397
