GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,sort_period,repeat,agent_density,mean_message_count,s_rtc,s_simulation,s_init,s_exit,s_step_mean
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,1000000,50.000000,1.000000,0,0,8.000000,200.004242,0.000000,1.796910,0.000000,0.000000,0.008947
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,1000000,50.000000,1.000000,0,1,8.000000,200.310349,0.000000,1.736454,0.000000,0.000000,0.008658
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,1000000,50.000000,1.000000,0,2,8.000000,200.023239,0.000000,1.731084,0.000000,0.000000,0.008631
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,1000000,50.000000,1.000000,0,0,8.000000,200.004242,3.158000,1.709726,0.000000,0.000000,0.008514
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,1000000,50.000000,1.000000,0,1,8.000000,200.310333,0.011000,1.659968,0.000000,0.000000,0.008267
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,1000000,50.000000,1.000000,0,2,8.000000,200.023224,0.011000,1.660945,0.000000,0.000000,0.008273
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,1000000,50.000000,2.000000,0,0,8.000000,1591.446777,0.000000,12.402399,0.000000,0.000000,0.061970
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,1000000,50.000000,2.000000,0,1,8.000000,1588.383423,0.000000,12.317803,0.000000,0.000000,0.061553
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,1000000,50.000000,2.000000,0,2,8.000000,1590.323730,0.000000,12.331740,0.000000,0.000000,0.061622
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,1000000,50.000000,2.000000,0,0,8.000000,1591.446777,0.011000,12.098359,0.000000,0.000000,0.060455
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,1000000,50.000000,2.000000,0,1,8.000000,1588.383301,0.009000,12.060177,0.000000,0.000000,0.060269
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,1000000,50.000000,2.000000,0,2,8.000000,1590.323853,0.010000,12.082849,0.000000,0.000000,0.060389
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,1000000,50.000000,4.000000,0,0,8.000000,10469.341797,0.000000,75.106064,0.000000,0.000000,0.375505
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,1000000,50.000000,4.000000,0,1,8.000000,10457.634766,0.000000,75.011963,0.000000,0.000000,0.375034
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,1000000,50.000000,4.000000,0,2,8.000000,10465.808594,0.000000,75.056259,0.000000,0.000000,0.375256
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,1000000,50.000000,4.000000,0,0,8.000000,10469.342773,0.010000,76.404907,0.000000,0.000000,0.381999
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,1000000,50.000000,4.000000,0,1,8.000000,10457.634766,0.010000,76.254341,0.000000,0.000000,0.381246
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,1000000,50.000000,4.000000,0,2,8.000000,10465.808594,0.010000,76.347878,0.000000,0.000000,0.381713
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,1000000,50.000000,6.000000,0,0,8.000000,29359.337891,0.000000,199.593018,0.000000,0.000000,0.997938
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,1000000,50.000000,6.000000,0,1,8.000000,29323.087891,0.000000,200.733154,0.000000,0.000000,1.003638
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,1000000,50.000000,6.000000,0,2,8.000000,29323.207031,0.000000,199.873230,0.000000,0.000000,0.999327
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,1000000,50.000000,6.000000,0,0,8.000000,29359.337891,0.015000,190.912628,0.000000,0.000000,0.954535
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,1000000,50.000000,6.000000,0,1,8.000000,29323.082031,0.010000,191.036148,0.000000,0.000000,0.955154
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,1000000,50.000000,6.000000,0,2,8.000000,29323.207031,0.010000,190.903839,0.000000,0.000000,0.954493
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,1000000,50.000000,8.000000,0,0,8.000000,58329.828125,0.000000,370.417694,0.000000,0.000000,1.852059
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,1000000,50.000000,8.000000,0,1,8.000000,58261.464844,0.000000,371.712189,0.000000,0.000000,1.858520
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,1000000,50.000000,8.000000,0,2,8.000000,58200.339844,0.000000,370.121521,0.000000,0.000000,1.850570
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,1000000,50.000000,8.000000,0,0,8.000000,58329.828125,0.061000,323.215240,0.000000,0.000000,1.616047
