GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,sort_period,repeat,agent_density,mean_message_count,s_rtc,s_simulation,s_init,s_exit,s_step_mean
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,0,0,1.000000,194.318481,0.000000,0.185465,0.000000,0.000000,0.000900
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,0,1,1.000000,194.070251,0.000000,0.148898,0.000000,0.000000,0.000722
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,2.000000,0,2,1.000000,192.824356,0.000000,0.151310,0.000000,0.000000,0.000734
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,0,0,1.000000,194.318512,3.389000,0.147287,0.000000,0.000000,0.000702
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,0,1,1.000000,194.070236,0.009000,0.132390,0.000000,0.000000,0.000630
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,2.000000,0,2,1.000000,192.824356,0.009000,0.119133,0.000000,0.000000,0.000573
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,4.000000,0,0,1.000000,1395.799316,0.000000,0.725402,0.000000,0.000000,0.003604
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,4.000000,0,1,1.000000,1399.385010,0.000000,0.712004,0.000000,0.000000,0.003537
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,4.000000,0,2,1.000000,1395.177368,0.000000,0.729626,0.000000,0.000000,0.003614
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,4.000000,0,0,1.000000,1395.799316,0.014000,0.446947,0.000000,0.000000,0.002201
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,4.000000,0,1,1.000000,1399.385010,0.009000,0.450255,0.000000,0.000000,0.002216
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,64000,40.000000,4.000000,0,2,1.000000,1395.177368,0.009000,0.447207,0.000000,0.000000,0.002213
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,64000,40.000000,6.000000,0,0,1.000000,3728.162109,0.000000,1.641417,0.000000,0.000000,0.008184
