GPU,release_mode,seatbelts_on,model,steps,agent_count,env_width,comm_radius,sort_period,repeat,agent_density,mean_message_count,s_rtc,s_simulation,s_init,s_exit,s_step_mean
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,10648,22.000000,2.000000,1,0,1.000000,181.420044,0.000000,0.087330,0.000000,0.000000,0.000413
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,10648,22.000000,2.000000,1,1,1.000000,179.426987,0.000000,0.091393,0.000000,0.000000,0.000426
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,10648,22.000000,2.000000,1,2,1.000000,182.351837,0.000000,0.089275,0.000000,0.000000,0.000423
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,10648,22.000000,2.000000,1,0,1.000000,181.420044,0.009000,0.070674,0.000000,0.000000,0.000330
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,10648,22.000000,2.000000,1,1,1.000000,179.426987,0.009000,0.072516,0.000000,0.000000,0.000339
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,10648,22.000000,2.000000,1,2,1.000000,182.351822,0.010000,0.071576,0.000000,0.000000,0.000334
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,21296,22.000000,2.000000,1,0,2.000000,361.698212,0.000000,0.134752,0.000000,0.000000,0.000650
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,21296,22.000000,2.000000,1,1,2.000000,362.086731,0.000000,0.131815,0.000000,0.000000,0.000636
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,21296,22.000000,2.000000,1,2,2.000000,361.013763,0.000000,0.135940,0.000000,0.000000,0.000656
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,21296,22.000000,2.000000,1,0,2.000000,361.698151,0.009000,0.104596,0.000000,0.000000,0.000491
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,21296,22.000000,2.000000,1,1,2.000000,362.086792,0.009000,0.104388,0.000000,0.000000,0.000481
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,21296,22.000000,2.000000,1,2,2.000000,361.013763,0.009000,0.105306,0.000000,0.000000,0.000503
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,31944,22.000000,2.000000,1,0,3.000000,542.464050,0.000000,0.182483,0.000000,0.000000,0.000883
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,31944,22.000000,2.000000,1,1,3.000000,544.454590,0.000000,0.182881,0.000000,0.000000,0.000880
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,31944,22.000000,2.000000,1,2,3.000000,543.948303,0.000000,0.178364,0.000000,0.000000,0.000869
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,31944,22.000000,2.000000,1,0,3.000000,542.464172,0.009000,0.136984,0.000000,0.000000,0.000649
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,31944,22.000000,2.000000,1,1,3.000000,544.454285,0.009000,0.133330,0.000000,0.000000,0.000637
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,31944,22.000000,2.000000,1,2,3.000000,543.948303,0.009000,0.132391,0.000000,0.000000,0.000638
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,42592,22.000000,2.000000,1,0,4.000000,722.164001,0.000000,0.223196,0.000000,0.000000,0.001093
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,42592,22.000000,2.000000,1,1,4.000000,728.250793,0.000000,0.224423,0.000000,0.000000,0.001099
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D,200,42592,22.000000,2.000000,1,2,4.000000,725.077881,0.000000,0.225736,0.000000,0.000000,0.001094
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,42592,22.000000,2.000000,1,0,4.000000,722.163818,0.009000,0.163114,0.000000,0.000000,0.000786
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,42592,22.000000,2.000000,1,1,4.000000,728.250793,0.009000,0.162526,0.000000,0.000000,0.000789
NVIDIA A100-SXM4-40GB,1,0,circles_spatial3D_rtc,200,42592,22.000000,2.000000,1,2,4.000000,725.077881,0.009000,0.162529,0.000000,0.000000,0.000788
